,team_name,Section,Year,medal_awarded,award,wiki_link
148,Oxford,Undergrad,2018,Gold,Nominated for Best Therapeutics Project,http://2018.igem.org/Team:Oxford
149,Oxford,Undergrad,2018,Gold,Nominated for Best Wiki,http://2018.igem.org/Team:Oxford
150,Oxford,Undergrad,2018,Gold,Nominated for Best Integrated Human Practices,http://2018.igem.org/Team:Oxford
151,Oxford,Undergrad,2018,Gold,Nominated for Best Entrepreneurship,http://2018.igem.org/Team:Oxford
152,Paris_Bettencourt,Overgrad,2018,Gold,"Nominated for Best Software Tool, Overgrad",http://2018.igem.org/Team:Paris_Bettencourt
153,Paris_Bettencourt,Overgrad,2018,Gold,"Nominated for Best New Composite Part, Overgrad",http://2018.igem.org/Team:Paris_Bettencourt
154,Pasteur_Paris,Overgrad,2018,Gold,"Nominated for Best Product Design, Overgrad",http://2018.igem.org/Team:Pasteur_Paris
155,Peking,Undergrad,2018,Gold,Nominated for Best Foundational Advance Project,http://2018.igem.org/Team:Peking
156,Peking,Undergrad,2018,Gold,Nominated for Best New Composite Part,http://2018.igem.org/Team:Peking
157,Peking,Undergrad,2018,Gold,Nominated for Best Part Collection,http://2018.igem.org/Team:Peking
158,Queens_Canada,Undergrad,2018,Gold,Nominated for Best Diagnostics Project,http://2018.igem.org/Team:Queens_Canada
159,Queens_Canada,Undergrad,2018,Gold,Nominated for Best Presentation,http://2018.igem.org/Team:Queens_Canada
160,Queens_Canada,Undergrad,2018,Gold,Nominated for Best Poster,http://2018.igem.org/Team:Queens_Canada
161,Queens_Canada,Undergrad,2018,Gold,Nominated for Best Entrepreneurship,http://2018.igem.org/Team:Queens_Canada
162,Queens_Canada,Undergrad,2018,Gold,Nominated for Best Product Design,http://2018.igem.org/Team:Queens_Canada
163,RDFZ-China,High_school,2018,Gold,,http://2018.igem.org/Team:RDFZ-China
164,Rice,Undergrad,2018,Gold,Nominated for Best Foundational Advance Project,http://2018.igem.org/Team:Rice
165,Rice,Undergrad,2018,Gold,Nominated for Best Education & Public Engagement,http://2018.igem.org/Team:Rice
166,Ruia-Mumbai,Undergrad,2018,Gold,Nominated for Best Environment Project,http://2018.igem.org/Team:Ruia-Mumbai
167,Ruia-Mumbai,Undergrad,2018,Gold,Nominated for Best Presentation,http://2018.igem.org/Team:Ruia-Mumbai
168,Ruia-Mumbai,Undergrad,2018,Gold,Best Integrated Human Practices,http://2018.igem.org/Team:Ruia-Mumbai
169,Ruia-Mumbai,Undergrad,2018,Gold,Nominated for Best Integrated Human Practices,http://2018.igem.org/Team:Ruia-Mumbai
170,SDU-CHINA,Undergrad,2018,Gold,,http://2018.igem.org/Team:SDU-CHINA
171,ShanghaiTech,Undergrad,2018,Gold,,http://2018.igem.org/Team:ShanghaiTech
172,SHSBNU_China,High_school,2018,Gold,,http://2018.igem.org/Team:SHSBNU_China
173,SJTU-BioX-Shanghai,Undergrad,2018,Gold,Nominated for Best Diagnostics Project,http://2018.igem.org/Team:SJTU-BioX-Shanghai
174,Stockholm,Overgrad,2018,Gold,"Best Environment Project, Overgrad",http://2018.igem.org/Team:Stockholm
175,Stockholm,Overgrad,2018,Gold,"Nominated for Best Environment Project, Overgrad",http://2018.igem.org/Team:Stockholm
176,Stockholm,Overgrad,2018,Gold,"Nominated for Best Presentation, Overgrad",http://2018.igem.org/Team:Stockholm
177,Stockholm,Overgrad,2018,Gold,"Best Integrated Human Practices, Overgrad",http://2018.igem.org/Team:Stockholm
178,Stockholm,Overgrad,2018,Gold,"Nominated for Best Integrated Human Practices, Overgrad",http://2018.igem.org/Team:Stockholm
179,Stockholm,Overgrad,2018,Gold,"Nominated for Best Education & Public Engagement, Overgrad",http://2018.igem.org/Team:Stockholm
180,Stockholm,Overgrad,2018,Gold,"Nominated for Best Model, Overgrad",http://2018.igem.org/Team:Stockholm
181,Stockholm,Overgrad,2018,Gold,"Nominated for Best Entrepreneurship, Overgrad",http://2018.igem.org/Team:Stockholm
182,Stockholm,Overgrad,2018,Gold,"Nominated for Best Product Design, Overgrad",http://2018.igem.org/Team:Stockholm
183,Stony_Brook,Undergrad,2018,Gold,Nominated for Best Energy Project,http://2018.igem.org/Team:Stony_Brook
184,Stuttgart,Overgrad,2018,Gold,,http://2018.igem.org/Team:Stuttgart
185,SYSU-CHINA,Undergrad,2018,Gold,Nominated for Best Therapeutics Project,http://2018.igem.org/Team:SYSU-CHINA
186,SYSU-CHINA,Undergrad,2018,Gold,Nominated for Best Measurement,http://2018.igem.org/Team:SYSU-CHINA
187,SYSU-CHINA,Undergrad,2018,Gold,Best New Basic Part,http://2018.igem.org/Team:SYSU-CHINA
188,SYSU-CHINA,Undergrad,2018,Gold,Nominated for Best New Basic Part,http://2018.igem.org/Team:SYSU-CHINA
189,SZU-China,Undergrad,2018,Gold,Best Manufacturing Project,http://2018.igem.org/Team:SZU-China
190,SZU-China,Undergrad,2018,Gold,Nominated for Best Manufacturing Project,http://2018.igem.org/Team:SZU-China
191,SZU-China,Undergrad,2018,Gold,Nominated for Best Wiki,http://2018.igem.org/Team:SZU-China
192,SZU-China,Undergrad,2018,Gold,Nominated for Best Integrated Human Practices,http://2018.igem.org/Team:SZU-China
193,SZU-China,Undergrad,2018,Gold,Nominated for Best Education & Public Engagement,http://2018.igem.org/Team:SZU-China
194,SZU-China,Undergrad,2018,Gold,Nominated for Best Model,http://2018.igem.org/Team:SZU-China
195,SZU-China,Undergrad,2018,Gold,Best Product Design,http://2018.igem.org/Team:SZU-China
196,SZU-China,Undergrad,2018,Gold,Nominated for Best Product Design,http://2018.igem.org/Team:SZU-China
197,TAS_Taipei,High_school,2018,Gold,"Nominated for Best Wiki, High_school",http://2018.igem.org/Team:TAS_Taipei
198,TAS_Taipei,High_school,2018,Gold,"Nominated for Best Presentation, High_school",http://2018.igem.org/Team:TAS_Taipei
199,TAS_Taipei,High_school,2018,Gold,"Nominated for Best Poster, High_school",http://2018.igem.org/Team:TAS_Taipei
200,TAS_Taipei,High_school,2018,Gold,"Nominated for Best Integrated Human Practices, High_school",http://2018.igem.org/Team:TAS_Taipei
201,TAS_Taipei,High_school,2018,Gold,"Nominated for Best Education & Public Engagement, High_school",http://2018.igem.org/Team:TAS_Taipei
202,TAS_Taipei,High_school,2018,Gold,"Nominated for Best Model, High_school",http://2018.igem.org/Team:TAS_Taipei
203,TAS_Taipei,High_school,2018,Gold,"Best Entrepreneurship, High_school",http://2018.igem.org/Team:TAS_Taipei
204,TAS_Taipei,High_school,2018,Gold,"Nominated for Best Product Design, High_school",http://2018.igem.org/Team:TAS_Taipei
205,Tec-Chihuahua,Undergrad,2018,Gold,Nominated for Best Food & Nutrition Project,http://2018.igem.org/Team:Tec-Chihuahua
206,Tec-Chihuahua,Undergrad,2018,Gold,Nominated for Best Education & Public Engagement,http://2018.igem.org/Team:Tec-Chihuahua
207,Tec-Chihuahua,Undergrad,2018,Gold,Nominated for Best Entrepreneurship,http://2018.igem.org/Team:Tec-Chihuahua
208,TecCEM,Undergrad,2018,Gold,Nominated for Best Therapeutics Project,http://2018.igem.org/Team:TecCEM
209,TecCEM,Undergrad,2018,Gold,Nominated for Best Measurement,http://2018.igem.org/Team:TecCEM
210,TecCEM,Undergrad,2018,Gold,Nominated for Best Software Tool,http://2018.igem.org/Team:TecCEM
211,TecCEM,Undergrad,2018,Gold,Nominated for Best Hardware,http://2018.igem.org/Team:TecCEM
212,Tongji-Software,Undergrad,2018,Gold,,http://2018.igem.org/Team:Tongji-Software
213,Toulouse-INSA-UPS,Undergrad,2018,Gold,Nominated for Best Manufacturing Project,http://2018.igem.org/Team:Toulouse-INSA-UPS
214,Toulouse-INSA-UPS,Undergrad,2018,Gold,Best New Basic Part,http://2018.igem.org/Team:Toulouse-INSA-UPS
215,Toulouse-INSA-UPS,Undergrad,2018,Gold,Nominated for Best New Basic Part,http://2018.igem.org/Team:Toulouse-INSA-UPS
216,Tsinghua,Undergrad,2018,Gold,Nominated for Best Information Processing Project,http://2018.igem.org/Team:Tsinghua
