School,Section,Year,Wiki hyperlink,Award,Outreach Category,Outreach Project,Project Tag,Audience,Goal,Description
SCAU-China,Undergraduate,2016,http://2016.igem.org/Team:SCAU-China,Best Education and Public Engagement,Education and Public Engagement,Exhibitions at University's Hackerspace,Project Presentation,General Public,Present iGEM Project,Presented iGEM project at the university's Hackerspace
SCAU-China,Undergraduate,2016,http://2016.igem.org/Team:SCAU-China,Best Education and Public Engagement,Education and Public Engagement,GMO Investigation,Survey,General Public,Learn Public Opinion,Created and distributed survey to quantify public awareness of GMOs
SCAU-China,Undergraduate,2016,http://2016.igem.org/Team:SCAU-China,,Integrated Human Practices,Questionnaire,Survey,General Public,Learn Public Opinion,"Created survey to learn public opinion on iGEM, synthetic biology, and GMOs"
SCAU-China,Undergraduate,2016,http://2016.igem.org/Team:SCAU-China,Best Education and Public Engagement,Education and Public Engagement,Laboratory Open Day,Teaching Activity,University Students,Promote Awareness of Synthetic Biology,"Showed college freshmen around the lab, introducing them to equipment, videos, and past posters"
SCAU-China,Undergraduate,2016,http://2016.igem.org/Team:SCAU-China,Best Education and Public Engagement,Education and Public Engagement,Spread Scientific Knowledge to Countrysides,Teaching Activity,Primary School Students,Science Education,Taught courses on biology to primary school students
SCAU-China,Undergraduate,2016,http://2016.igem.org/Team:SCAU-China,Best Education and Public Engagement,Education and Public Engagement,Giving Courses for High School Students,Teaching Activity,Secondary School Students,"Educate on Synthetic Biology, Educate on iGEM Program",Taught courses on advanced biology to local high school and middle school students
SCUT-China,Undergraduate,2015,http://2015.igem.org/Team:SCUT-China,Nominated for Best Integrated Human Practices,Integrated Human Practices,Hospital Interview with Patients,Consult Experts,Specialized Audience,Gain Information for iGEM Project,Conducted interviews with multiple patients about coronary intervention and surgical coronary revascularization
SCUT-China,Undergraduate,2015,http://2015.igem.org/Team:SCUT-China,Nominated for Best Integrated Human Practices,Integrated Human Practices,Hospital Interview with Doctors,Consult Experts,Specialized Audience,Gain Information for iGEM Project,Discussed iGEM project with various doctors and received advice on how to test their product
SCUT-China,Undergraduate,2015,http://2015.igem.org/Team:SCUT-China,Nominated for Best Integrated Human Practices,Integrated Human Practices,Patenting Consultation,Consult Experts,Specialized Audience,Gain Information for iGEM Project,Met with expert biologists to receive advice on iGEM project.
SCUT-China,Undergraduate,2015,http://2015.igem.org/Team:SCUT-China,Nominated for Best Integrated Human Practices,Integrated Human Practices,6th China Cardiovascular Prevention and Rehabilitation Forum,"Consult Experts, Project Presentation",Scientific Community,"Gain Information for iGEM Project, Present iGEM Project","Presented, discussed and got feedback about team's iGEM project at forum for cardiovascular health"
SCUT-China,Undergraduate,2015,http://2015.igem.org/Team:SCUT-China,Nominated for Best Integrated Human Practices,Integrated Human Practices,Data Analysis on Cardiovascular Disease,Educational Material,Scientific Community,Science Education,Compiled a report on cardiovascular disease and its related ailments 
SCUT-China,Undergraduate,2015,http://2015.igem.org/Team:SCUT-China,,Education and Public Engagement,iGEM team meetups,Project Presentation,iGEM Teams,Present iGEM Project,Presented iGEM project at team meetups in Taiwan and Guangzhou
SCUT-China A,Undergraduate,2016,http://2016.igem.org/Team:SCUT-China%20A,,Integrated Human Practices,Consult Professors,Consult Experts,Professors,Gain Information for iGEM Project,Communicated with professors from the department of Environment and Energy to discuss project
SCUT-China A,Undergraduate,2016,http://2016.igem.org/Team:SCUT-China%20A,,Integrated Human Practices,Pre-Investigations of Past iGEM Teams,Educational Material ,iGEM Teams,Gain Information for iGEM Project,Created a data pool of all past iGEM teams and summarized data on iGEM wiki
SCUT-China A,Undergraduate,2016,http://2016.igem.org/Team:SCUT-China%20A,,Integrated Human Practices,Questionnaire,Survey,General Public,Gain Information for iGEM Project,Wrote a four question survey on the topics of their iGEM project and environment
SDSZ China,High School,2016,http://2016.igem.org/Team:SDSZ%20China,,Integrated Human Practices,Consult Chinese Academy of Agricultural Sciences,Consult Experts,Specialized Audience,Gain Information for iGEM Project,Consulted a doctor working for the Chinese Academy of Agricultural Sciences about their iGEM project
SDSZ China,High School,2016,http://2016.igem.org/Team:SDSZ%20China,,Integrated Human Practices,Tour Dairy Processing Factory,Consult Experts,Specialized Audience,Gain Information for iGEM Project,Learned about the process by which the factory insures milk quality and discussed how to ensure milk quality with factory workers
SDU-Denmark,Overgraduate,2016,http://2016.igem.org/Team:SDU-Denmark,,Integrated Human Practices,Interviewing Laura Jakobsen,Consult Experts,"Specialized Audience, Scientific Community",Gain Information for iGEM Project,Interviewed a nurse in the plastic surgery department to understand the issues hospital face when treating burn wounds 
SDU-Denmark,Overgraduate,2016,http://2016.igem.org/Team:SDU-Denmark,,Integrated Human Practices,Interviewing Hans Jørn Kolmos,Consult Experts,Scientific Community,Gain Information for iGEM Project,Interviewed a clinical microbiology professor about antibiotic resistance 
SDU-Denmark,Overgraduate,2016,http://2016.igem.org/Team:SDU-Denmark,,Integrated Human Practices,Interviewing Morten Østergaard Andersen,Consult Experts,"Professors, Scientific Community",Gain Information for iGEM Project,Consulted with an Associate Professor researching biomaterials on possible functions that biodegradable plastic can fulfill in medicine 
SDU-Denmark,Overgraduate,2016,http://2016.igem.org/Team:SDU-Denmark,,Integrated Human Practices,Interviewing Ming Ding,Consult Experts,"Professors, Scientific Community",Gain Information for iGEM Project,Interviewed a professor in orthopedic surgery about how their project's plastic can be used as a coating for implants 
SDU-Denmark,Overgraduate,2015,http://2015.igem.org/Team:SDU-Denmark,,Integrated Human Practices,Ethics,Consult Experts,Scientific Community,"Discuss Ethics and Safety, Gain Information for iGEM Project",Visited a department at Odense University Hospital where antibodies are made to spur ethical discussion
SDU-Denmark,Overgraduate,2016,http://2016.igem.org/Team:SDU-Denmark,,Integrated Human Practices,Interviewing Plastic Companies,"Consult Experts, Survey","Vendors/Businesses, Scientific Community",Gain Information for iGEM Project,Questioned 14 different plastic companies about sustainability and the future of biodegradable plastic
SDU-Denmark,Overgraduate,2016,http://2016.igem.org/Team:SDU-Denmark,Nominated for Best Education and Public Engagement,Education and Public Engagement,Media,Educational Material,"Secondary School Students, Scientific Community, iGEM Teams",Promote Awareness of Synthetic Biology,Create an information video about the team's project.
SDU-Denmark,Overgraduate,2015,http://2015.igem.org/Team:SDU-Denmark,,Education and Public Engagement,A Children's Book,Educational Material,General Public,Educate on Synthetic Biology,Created a story for adults and children on the subjects of GMOs and existentialism
